release_date,release_date,cpi_value
1973-06-21,1973-06-21,43.9
1973-07-20,1973-07-20,44.2
1973-08-21,1973-08-21,44.2
1973-09-21,1973-09-21,45.0
1973-10-19,1973-10-19,45.2
1973-11-21,1973-11-21,45.6
1973-12-21,1973-12-21,45.9
1974-01-22,1974-01-22,46.3
1974-02-22,1974-02-22,46.8
1974-03-21,1974-03-21,47.3
1974-04-19,1974-04-19,47.8
1974-05-21,1974-05-21,48.1
1974-06-21,1974-06-21,48.6
1974-07-19,1974-07-19,49.0
1974-08-21,1974-08-21,49.3
1974-09-20,1974-09-20,49.9
1974-10-22,1974-10-22,50.6
1974-11-21,1974-11-21,51.0
1974-12-20,1974-12-20,51.5
1975-01-21,1975-01-21,51.9
1975-02-21,1975-02-21,52.3
1975-03-20,1975-03-20,52.6
1975-04-22,1975-04-22,52.8
1975-05-21,1975-05-21,53.0
1975-06-20,1975-06-20,53.1
1975-07-22,1975-07-22,53.5
1975-08-21,1975-08-21,54.0
1975-09-19,1975-09-19,54.2
1975-10-22,1975-10-22,54.6
1975-11-20,1975-11-20,54.9
1975-12-19,1975-12-19,55.3
1976-01-21,1976-01-21,55.6
1976-02-20,1976-02-20,55.8
1976-03-19,1976-03-19,55.9
1976-04-21,1976-04-21,56.0
1976-05-21,1976-05-21,56.1
1976-06-22,1976-06-22,56.4
1976-07-21,1976-07-21,56.7
1976-08-20,1976-08-20,57.0
1976-09-21,1976-09-21,57.3
1976-10-21,1976-10-21,57.6
1976-11-19,1976-11-19,57.9
1976-12-21,1976-12-21,58.1
1977-01-19,1977-01-19,58.4
1977-02-18,1977-02-18,58.7
1977-03-18,1977-03-18,59.3
1977-04-21,1977-04-21,59.6
1977-05-20,1977-05-20,60.0
1977-06-21,1977-06-21,60.2
1977-07-21,1977-07-21,60.5
1977-08-19,1977-08-19,60.8
1977-09-21,1977-09-21,61.1
1977-10-21,1977-10-21,61.3
1977-11-22,1977-11-22,61.6
1977-12-21,1977-12-21,62.0
1978-01-20,1978-01-20,62.3
1978-02-27,1978-02-27,62.7
1978-03-28,1978-03-28,63.0
1978-04-28,1978-04-28,63.4
1978-05-31,1978-05-31,63.9
1978-06-30,1978-06-30,64.5
1978-07-28,1978-07-28,65.0
1978-08-29,1978-08-29,65.5
1978-09-26,1978-09-26,65.9
1978-10-26,1978-10-26,66.5
1978-11-28,1978-11-28,67.1
1978-12-22,1978-12-22,67.5
1979-01-24,1979-01-24,67.9
1979-02-23,1979-02-23,68.5
1979-03-23,1979-03-23,69.2
1979-04-26,1979-04-26,69.9
1979-05-25,1979-05-25,70.6
1979-06-26,1979-06-26,71.4
1979-07-26,1979-07-26,72.2
1979-08-24,1979-08-24,73.0
1979-09-25,1979-09-25,73.7
1979-10-26,1979-10-26,74.4
1979-11-27,1979-11-27,75.2
1979-12-21,1979-12-21,76.0
1980-01-25,1980-01-25,76.9
1980-02-22,1980-02-22,78.0
1980-03-25,1980-03-25,79.0
1980-04-22,1980-04-22,80.1
1980-05-23,1980-05-23,80.9
1980-06-24,1980-06-24,81.7
1980-07-23,1980-07-23,82.5
1980-08-22,1980-08-22,82.6
1980-09-23,1980-09-23,83.2
1980-10-24,1980-10-24,83.9
1980-11-25,1980-11-25,84.7
1980-12-23,1980-12-23,85.6
1981-01-23,1981-01-23,86.4
1981-02-25,1981-02-25,87.2
1981-03-24,1981-03-24,88.0
1981-04-23,1981-04-23,88.6
1981-05-22,1981-05-22,89.1
1981-06-23,1981-06-23,89.7
1981-07-23,1981-07-23,90.5
1981-08-25,1981-08-25,91.5
1981-09-24,1981-09-24,92.2
1981-10-23,1981-10-23,93.1
1981-11-24,1981-11-24,93.4
1981-12-22,1981-12-22,93.8
1982-01-22,1982-01-22,94.1
1982-02-25,1982-02-25,94.4
1982-03-23,1982-03-23,94.7
