,predicted,actual
2021-09-08,5.18155,
2021-09-09,5.9432836,
2021-09-10,5.9432364,
2021-09-11,5.9432364,
2021-09-12,5.9432364,
2021-09-13,5.943194,
2021-09-14,5.181418,5.181323173271236
2021-09-15,5.9606338,
2021-09-16,5.922111,
2021-09-17,5.935062,
2021-09-18,5.935062,
2021-09-19,5.935062,
2021-09-20,5.9370074,
2021-09-21,5.9370074,
2021-09-22,5.9370074,
2021-09-23,5.2393355,
2021-09-24,5.250426,
2021-09-25,5.250426,
2021-09-26,5.250426,
2021-09-27,5.250834,
2021-09-28,5.9374595,
2021-09-29,5.9374595,
2021-09-30,5.9374595,
2021-10-01,5.9278483,
2021-10-02,5.9278483,
2021-10-03,5.9278483,
2021-10-04,5.9277225,
2021-10-05,5.362558,
2021-10-06,5.3261085,
2021-10-07,5.3261085,
2021-10-08,5.3441844,
2021-10-09,5.3441844,
2021-10-10,5.3441844,
2021-10-11,5.3664317,
2021-10-12,5.9315953,
2021-10-13,5.3639274,5.363523425270288
2021-10-14,5.294615,
2021-10-15,5.29506,
2021-10-16,5.29506,
2021-10-17,5.29506,
2021-10-18,5.294701,
2021-10-19,5.2947435,
2021-10-20,5.294701,
2021-10-21,5.294701,
2021-10-22,5.297149,
2021-10-23,5.297149,
2021-10-24,5.297149,
2021-10-25,5.305946,
2021-10-26,5.305946,
2021-10-27,5.306274,
2021-10-28,5.3059745,
2021-10-29,5.304346,
2021-10-30,5.304346,
2021-10-31,5.304346,
2021-11-01,5.349179,
2021-11-02,5.486447,
2021-11-03,5.486447,
2021-11-04,5.487555,
2021-11-05,5.9714417,
2021-11-06,5.9714417,
2021-11-07,5.9714417,
2021-11-08,6.148985,
2021-11-09,6.1492324,
2021-11-10,6.226368,6.226591220771439
2021-11-11,6.1816916,
2021-11-12,5.9204183,
2021-11-13,5.9204183,
2021-11-14,5.9204183,
2021-11-15,5.9512053,
2021-11-16,5.951241,
2021-11-17,6.0696893,
2021-11-18,6.4273534,
2021-11-19,6.297056,
2021-11-20,6.297056,
2021-11-21,6.297056,
2021-11-22,6.2969303,
2021-11-23,6.297056,
2021-11-24,6.3263817,
2021-11-25,6.3263817,
2021-11-26,6.4645166,
2021-11-27,6.4645166,
2021-11-28,6.4645166,
2021-11-29,6.467554,
2021-11-30,6.4643183,
2021-12-01,6.4674025,
2021-12-02,6.482856,
2021-12-03,6.3425508,
2021-12-04,6.3425508,
2021-12-05,6.3425508,
2021-12-06,6.339149,
2021-12-07,6.346421,
2021-12-08,6.3455787,
2021-12-09,6.3290915,
2021-12-10,6.865621,6.8655595202961965
2021-12-11,6.865621,
2021-12-12,6.865621,
2021-12-13,6.8655853,
2021-12-14,6.8835664,
2021-12-15,6.8836265,
2021-12-16,6.8840823,
2021-12-17,7.0141006,
2021-12-18,7.0141006,
2021-12-19,7.0141006,
2021-12-20,7.008793,
2021-12-21,7.0138445,
2021-12-22,7.0138803,
2021-12-23,7.0140142,
2021-12-24,7.0140142,
2021-12-25,7.0140142,
2021-12-26,7.0140142,
2021-12-27,7.0140142,
2021-12-28,7.013916,
2021-12-29,7.014088,
2021-12-30,6.886033,
2021-12-31,6.841633,
2022-01-01,6.841633,
2022-01-02,6.841633,
2022-01-03,7.031541,
2022-01-04,7.031541,
2022-01-05,7.031639,
2022-01-06,7.0318403,
2022-01-07,7.159549,
2022-01-08,7.159549,
2022-01-09,7.159549,
2022-01-10,7.159577,
2022-01-11,7.159451,
2022-01-12,7.159373,7.159457345112467
2022-01-13,7.1024776,
2022-01-14,6.970879,
2022-01-15,6.970879,
2022-01-16,6.970879,
2022-01-17,6.970879,
2022-01-18,7.1494555,
2022-01-19,7.149902,
2022-01-20,7.149902,
2022-01-21,7.2812715,
2022-01-22,7.2812715,
2022-01-23,7.2812715,
2022-01-24,7.2814636,
2022-01-25,7.2815895,
2022-01-26,7.28239,
2022-01-27,7.282264,
2022-01-28,7.4394913,
2022-01-29,7.4394913,
2022-01-30,7.4394913,
2022-01-31,7.4394913,
2022-02-01,7.4394913,
2022-02-02,7.4394555,
2022-02-03,7.438649,
2022-02-04,7.577786,
2022-02-05,7.577786,
2022-02-06,7.577786,
2022-02-07,7.5780683,
2022-02-08,7.5779424,7.578082463000531
2022-02-09,7.533542,
2022-02-10,7.533668,
2022-02-11,7.4478154,
2022-02-12,7.4478154,
2022-02-13,7.4478154,
2022-02-14,7.4476895,
2022-02-15,7.4476104,
2022-02-16,7.4476895,
2022-02-17,7.44659,
2022-02-18,7.588771,
2022-02-19,7.588771,
2022-02-20,7.588771,
2022-02-21,7.588771,
2022-02-22,7.589614,
2022-02-23,7.589614,
2022-02-24,7.5900593,
2022-02-25,7.6228833,
2022-02-26,7.6228833,
2022-02-27,7.6228833,
2022-02-28,7.6228476,
2022-03-01,7.819101,
2022-03-02,7.821848,
2022-03-03,7.8220043,
2022-03-04,7.944261,
2022-03-05,7.944261,
2022-03-06,7.944261,
2022-03-07,7.944261,
2022-03-08,7.9443393,
2022-03-09,7.9443393,
2022-03-10,7.9492774,7.949220898953991
2022-03-11,7.9489408,
2022-03-12,7.9489408,
2022-03-13,7.9489408,
2022-03-14,7.944676,
2022-03-15,7.944813,
2022-03-16,7.9492774,
2022-03-17,7.9467444,
2022-03-18,7.9476614,
2022-03-19,7.9476614,
2022-03-20,7.9476614,
2022-03-21,7.947958,
2022-03-22,7.902952,
2022-03-23,7.9021688,
2022-03-24,7.9021688,
2022-03-25,7.773211,
2022-03-26,7.773211,
2022-03-27,7.773211,
2022-03-28,7.772047,
2022-03-29,7.7720747,
2022-03-30,7.7720003,
2022-03-31,8.452608,
2022-04-01,8.539247,
2022-04-02,8.539247,
2022-04-03,8.539247,
2022-04-04,8.539247,
2022-04-05,8.539247,
2022-04-06,8.539247,
2022-04-07,8.539247,
2022-04-08,8.539247,
2022-04-09,8.539247,
2022-04-10,8.539247,
2022-04-11,8.539898,
2022-04-12,8.5401325,8.540780148538593
2022-04-13,8.539898,
2022-04-14,8.5401325,
2022-04-15,8.529236,
2022-04-16,8.529236,
2022-04-17,8.529236,
2022-04-18,8.529236,
2022-04-19,8.528699,
2022-04-20,8.528699,
2022-04-21,8.529236,
2022-04-22,8.528497,
2022-04-23,8.528497,
2022-04-24,8.528497,
2022-04-25,8.528814,
2022-04-26,8.5286875,
2022-04-27,8.5286875,
2022-04-28,8.5286875,
2022-04-29,8.234929,
2022-04-30,8.234929,
2022-05-01,8.234929,
2022-05-02,8.234929,
2022-05-03,8.3560295,
2022-05-04,8.224952,
2022-05-05,8.3560295,
2022-05-06,8.346054,
2022-05-07,8.346054,
2022-05-08,8.346054,
2022-05-09,8.604086,
2022-05-10,8.346054,
2022-05-11,8.235294,8.235161744022502
2022-05-12,8.36656,
2022-05-13,8.36656,
2022-05-14,8.36656,
2022-05-15,8.36656,
2022-05-16,8.235325,
2022-05-17,8.234482,
2022-05-18,8.232669,
2022-05-19,8.232304,
2022-05-20,8.23268,
2022-05-21,8.23268,
2022-05-22,8.23268,
2022-05-23,8.232261,
2022-05-24,8.232183,
2022-05-25,8.232183,
2022-05-26,8.232183,
2022-05-27,8.528554,
2022-05-28,8.528554,
2022-05-29,8.528554,
2022-05-30,8.528554,
2022-05-31,8.528554,
2022-06-01,8.528554,
2022-06-02,8.522205,
2022-06-03,8.876589,
2022-06-04,8.876589,
2022-06-05,8.876589,
2022-06-06,8.528631,
2022-06-07,8.528709,
2022-06-08,8.528709,
2022-06-09,8.528835,
2022-06-10,8.530231,8.530051713089216
2022-06-11,8.530231,
2022-06-12,8.530231,
2022-06-13,8.5311165,
2022-06-14,8.524825,
2022-06-15,8.524689,
2022-06-16,8.531175,
2022-06-17,8.540054,
2022-06-18,8.540054,
2022-06-19,8.540054,
2022-06-20,8.540054,
2022-06-21,8.643543,
2022-06-22,8.5332575,
2022-06-23,8.997927,
2022-06-24,8.997927,
2022-06-25,8.997927,
2022-06-26,8.997927,
2022-06-27,8.997927,
2022-06-28,8.997927,
2022-06-29,8.87812,
2022-06-30,8.997624,
2022-07-01,8.870466,
2022-07-02,8.870466,
2022-07-03,8.870466,
2022-07-04,8.870466,
2022-07-05,8.997624,
2022-07-06,8.997624,
2022-07-07,8.870508,
2022-07-08,8.997624,
2022-07-09,8.997624,
2022-07-10,8.997624,
2022-07-11,8.997624,
2022-07-12,8.997624,
2022-07-13,8.997927,8.9992981419231
2022-07-14,8.997927,
2022-07-15,8.997624,
2022-07-16,8.997624,
2022-07-17,8.997624,
2022-07-18,8.515751,
2022-07-19,8.515751,
2022-07-20,8.5220995,
2022-07-21,8.521692,
2022-07-22,8.515401,
2022-07-23,8.515401,
2022-07-24,8.515401,
2022-07-25,8.515808,
2022-07-26,8.515401,
2022-07-27,8.521671,
2022-07-28,8.521867,
2022-07-29,8.457041,
2022-07-30,8.457041,
2022-07-31,8.457041,
2022-08-01,8.457041,
2022-08-02,8.456846,
2022-08-03,8.453444,
2022-08-04,8.456846,
2022-08-05,8.446309,
2022-08-06,8.446309,
2022-08-07,8.446309,
2022-08-08,8.446463,
2022-08-09,8.446505,
2022-08-10,8.4476185,8.447778206754556
2022-08-11,8.447398,
2022-08-12,8.447493,
2022-08-13,8.447493,
2022-08-14,8.447493,
2022-08-15,8.447493,
2022-08-16,8.447285,
2022-08-17,8.447557,
2022-08-18,8.447557,
2022-08-19,8.447683,
2022-08-20,8.447683,
2022-08-21,8.447683,
2022-08-22,8.447557,
2022-08-23,8.447683,
2022-08-24,8.448031,
2022-08-25,8.447557,
2022-08-26,8.2148695,
2022-08-27,8.2148695,
2022-08-28,8.2148695,
2022-08-29,8.214674,
2022-08-30,8.214674,
2022-08-31,8.214674,
2022-09-01,8.215207,
2022-09-02,8.215081,
2022-09-03,8.215081,
2022-09-04,8.215081,
2022-09-05,8.215081,
2022-09-06,8.215277,
2022-09-07,8.21585,
2022-09-08,8.21579,
2022-09-09,8.214421,
2022-09-10,8.214421,
2022-09-11,8.214421,
2022-09-12,8.214633,
2022-09-13,8.215907,8.216255059541258
2022-09-14,8.21508,
2022-09-15,8.215015,
2022-09-16,8.082965,
2022-09-17,8.082965,
2022-09-18,8.082965,
2022-09-19,8.084564,
2022-09-20,8.080381,
